320 240
0.20529 0.219433 0.17273
0.210783 0.22609 0.183567
0.179639 0.206518 0.158842
0.188509 0.209893 0.164307
0.202125 0.241319 0.184289
0.186769 0.214676 0.167757
0.182212 0.209682 0.163981
0.19773 0.222175 0.175454
0.177405 0.197041 0.157477
0.181977 0.202751 0.152068
0.183225 0.194454 0.155143
0.17497 0.20518 0.151291
0.197572 0.190263 0.15457
0.186517 0.19507 0.157795
0.174692 0.190592 0.144735
0.203857 0.208061 0.173008
0.146868 0.185464 0.133119
0.179825 0.207674 0.158919
0.179267 0.195518 0.151919
0.171241 0.198246 0.154974
0.179248 0.187448 0.145451
0.158602 0.181198 0.137732
0.197422 0.215311 0.170085
0.162783 0.197062 0.14494
0.176658 0.207303 0.157498
0.177558 0.214061 0.158435
0.208877 0.207635 0.169072
0.161639 0.188583 0.141902
0.15653 0.191494 0.13984
0.182175 0.217107 0.171683
0.165516 0.198289 0.150288
0.172751 0.205089 0.150057
0.173906 0.20768 0.164411
0.17833 0.212553 0.167039
0.1441 0.176187 0.125686
0.161075 0.198581 0.143714
0.178122 0.217143 0.164955
0.194572 0.216385 0.173149
0.167823 0.187771 0.142561
0.171294 0.20972 0.157947
0.179393 0.198389 0.147834
0.155963 0.192008 0.138719
0.171895 0.204015 0.15376
0.165705 0.182165 0.139803
0.149776 0.200227 0.149399
0.139175 0.178515 0.118995
0.170592 0.190164 0.143006
0.129396 0.166451 0.120301
0.11983 0.181089 0.116963
0.153523 0.192097 0.138511
0.132097 0.170628 0.121267
0.160409 0.194269 0.14009
0.165112 0.198834 0.150467
0.144526 0.184603 0.135822
0.134222 0.185445 0.128301
0.165348 0.194963 0.149885
0.168699 0.197616 0.150821
0.130587 0.177338 0.123974
0.13921 0.191109 0.138682
0.13515 0.176072 0.133784
0.129268 0.162561 0.113926
0.161778 0.197987 0.143521
0.167372 0.205167 0.153968
0.126803 0.166776 0.121734
0.13796 0.170729 0.118124
0.165252 0.19211 0.143475
0.129575 0.171348 0.121683
0.166399 0.193163 0.151694
0.118183 0.169612 0.117885
0.142354 0.185467 0.128819
0.148537 0.174384 0.12653
0.128579 0.17383 0.12582
0.113675 0.16207 0.109868
0.122406 0.165028 0.117465
0.139699 0.164769 0.119647
0.140916 0.179466 0.130242
0.152885 0.195874 0.140999
0.116547 0.157522 0.109841
0.124056 0.170604 0.123053
0.11708 0.179991 0.123104
0.124907 0.163153 0.113209
0.110788 0.154673 0.102433
0.102715 0.149227 0.100015
0.0970091 0.155174 0.098532
0.124707 0.177327 0.126225
0.119858 0.170112 0.119414
0.100118 0.142927 0.0915937
0.121677 0.157905 0.106345
0.100264 0.15509 0.102079
0.117013 0.157092 0.110117
0.10329 0.158513 0.102714
0.0394029 0.119931 0.0529245
0.00494343 0.118936 0.0356935
0 0.118157 0.0331531
0 0.117118 0.0330635
0 0.134378 0.0375316
0 0.137251 0.0358943
0 0.130785 0.0368161
0 0.136765 0.0365557
0 0.0971134 0.0261606
0 0.110303 0.0301266
0 0.129691 0.0365054
0 0.12799 0.0348399
0 0.123169 0.0346287
0 0.118475 0.0326661
